start_sec;end_sec;mark;duration
1590,63179;1590,85489;...;0,22310000000015862
1597,41878;1597,51251;...;0,0937300000000505
1598,81687;1599,75252;...;0,935649999999896
1602,05949;1605,04161;...;2,9821199999998953
1608,66085;1609,30366;...;0,6428100000000541
1613,27616;1615,37962;...;2,103460000000041
1622,05193;1622,9328;...;0,880869999999959
1631,24953;1631,98334;...;0,7338099999999486
1634,47959;1635,00137;...;0,5217800000000352
1635,00137;1637,57418;[então... não gostei ((risos));2,5728100000001177
1637,57418;1638,63436;...;1,0601799999999457
1640,85562;1643,50197;...;2,646349999999984
1644,48557;1645,14114;...;0,6555699999998978
1646,22547;1654,41403;...;8,188559999999825
1657,68363;1658,92889;...;1,2452599999999165
1665,94991;1666,14282;...;0,19290999999998348
1667,83116;1668,3954;...;0,5642400000001544
1669,83571;1672,11172;...;2,276010000000042
1681,48576;1683,56325;...;2,077489999999898
1693,0125;1693,90184;...;0,8893399999999474
1696,78378;1697,523;...;0,739219999999932
1697,523;1698,91967;[a não se::r;1,3966700000000856
1698,91967;1699,86246;...;0,9427900000000591
1701,03895;1702,54752;...;1,5085699999999633
1703,36889;1705,60444;...;2,235550000000103
1706,41445;1708,20629;...;1,791840000000093
1709,92022;1711,61899;...;1,6987699999999677
1726,72708;1732,18741;...;5,460330000000113
1733,07936;1734,06617;...;0,986810000000105
1735,98448;1738,03246;...;2,047979999999825
1742,29822;1745,18074;...;2,882520000000113
1756,12239;1757,72585;...;1,603460000000041
1758,98647;1759,50429;...;0,5178200000000288
1759,50429;1766,92391;sinto muito mas não vou chegar aonde você quer ((risos)) com essa resposta ((risos));7,419619999999895
1766,92391;1771,36634;...;4,4424300000000585
1771,91046;1776,17773;...;4,267270000000053
1776,17773;1777,16292;[((risos));0,985189999999875
1777,16292;1777,95014;...;0,7872199999999339
1783,8476;1784,30101;...;0,4534099999998489
1796,86211;1798,34563;( );1,4835199999999986
1798,34563;1802,39116;um sanduichinho bem delicado para você comer ((risos));4,0455299999998715
1802,39116;1809,09178;...;6,700620000000072
1810,24756;1810,86759;...;0,6200300000000425
1820,35436;1821,76676;...;1,4123999999999342
1831,50723;1832,96274;...;1,4555100000000039
1837,21828;1837,88346;...;0,6651799999999639
1837,88346;1842,48096;porque já que é para ser... BEM leve ((risos)) tem que ser bem ((risos));4,597500000000082
1842,48096;1847,08711;...;4,606149999999843
1848,28709;1853,02206;sou... especialista em soquinhas sopinhas de sa/ ((risos));4,734969999999976
1853,02206;1856,07745;sopinhas Knorr... e Magi então ((risos));3,0553899999999885
1856,07745;1863,30253;ah de galinha com arro::z galinha com Fidelini essas aí são... o menu de::... de fim de semana em Santos ((risos));7,225079999999934
1863,30253;1864,33756;então a [(gente);1,0350300000000061
1864,33756;1873,08314;...;8,745580000000018
1881,07248;1882,31509;...;1,2426100000000133
1882,31509;1894,36457;cozinha tudo junto... e:: tem um caldo bastante::... [éh... não digo bastante gos-toso né? porque:: sopa nunca é muito gostosa né?;12,049479999999903
1894,36457;1894,50687;...;0,14229999999997744
1894,50687;1905,33597;mas é uma alimentação razoável que dá para você... passar da noite para para o dia seguinte [((risos));10,829100000000153
1905,33597;1905,91111;[( );0,5751399999999194
1905,91111;1906,67904;...;0,7679299999999785
1906,67904;1907,12;[é;0,44095999999990454
1910,92044;1917,80755;...;6,887109999999893
1919,1026;1921,75816;...;2,6555600000001505
1921,75816;1922,56;[ah:: sim;0,8018399999998564
1923,06;1926,88948;...;3,8294800000001032
1938,18908;1938,62665;...;0,43756999999982327
1945,12902;1957,83501;já foi combinado que a gente vai para Santos... ma::s... a comida tem que ser aquela que aparecer na mesa e todo mundo achar uma beleza uma delícia ((risos)) e ficar con-tente ((risos));12,705989999999929
1957,83501;1969,07262;até tem o meu sobrinho... e um dia ele foi conosco né?... e justamente aquele dia a sopa:: estava para ser tomada no copo de canudinho ((risos));11,237609999999904
1969,07262;1976,44565;já daí vocês já (veem) né? ((risos)) que o acompanhamento não era lá muito bom né? (então);7,3730299999999716
1976,44565;1991,19594;...;14,750290000000177
1993,93041;1996,14357;...;2,2131600000000162
2001,11515;2004,33894;...;3,223790000000008
2007,15555;2007,90137;...;0,7458200000000943
2007,90137;2014,4631;são os três tipos::... de acompanhamento para o meu o gô/ coitado do meu bife ((risos));6,561729999999898
2014,4631;2015,98309;...;1,519990000000007
2015,98309;2016,46139;[é;0,4782999999999902
2016,46139;2019,26766;...;2,8062700000000405
2021,05914;2021,81451;...;0,7553699999998571
2021,81451;2028,33238;hoje eu estou:: dando [reCEItas de culinária aQUI não tem tamanho ((risos));6,51787000000013
2030,67635;2031,81234;...;1,1359899999999925
2039,02208;2040,36525;...;1,3431700000001001
2041,45671;2042,3294;...;0,8726900000001478
2042,3294;2048,66356;quando a gente tempera bastante para guardar... na geladeira então põe um pouquinho de óleo para não ficar um no [outro;6,334159999999883
2048,66356;2052,2;...;3,536439999999857
0,0;0,00482;...;0,00482
2,9924;3,23591;...;0,24351000000000012
4,70697;5,84606;...;1,1390899999999995
6,56215;6,88383;...;0,32167999999999974
